1;A88;EFEITO ADVERSO DE FATOR FÍSICO;FRIO / CALAFRIOS / AFOGAMENTO / CALOR / JETLAG (CANSAÇO E DISTÚRBIOS CAUSADOS PELA DIFERENÇA DE FUSO HORÁRIO) / TROVOADA / MOVIMENTO / PRESSÃO / RADIAÇÃO;EFEITOS DE RADIAÇÃO MÉDICA A87 / CEGUEIRA DA NEVE F79 / EFEITOS DO ÁLCOOL P16 / EFEITOS DO TABACO P17 / QUEIMADURAS DE RADIAÇÃO S14 / QUEIMADURA SOLAR S88;;;;7;2;2
2;A89;EFEITO DA PRÓTESE;INCAPACIDADE, DESCONFORTO, DEFICIÊNCIA, DOR OU LIMITAÇÃO DA FUNÇÃO RESULTANTE DA UTILIZAÇÃO DE UMA PRÓTESE CORRETORA DE UMA DEFICIÊNCIA / CATETER / PRÓTESE DENTÁRIA / VÁLVULA CARDÍACA / PRÓTESE ARTICULAR / TRANSPLANTE DE ÓRGÃO / MARCAPASSO;EFEITO DA DENTADURA/ DENTES FALSOS D19;;;;7;2;2
3;A90;MALFORMAÇÃO CONGÊNITA NE/MÚLTIPLAS;SÍNDROME DE DOWN / SÍNDROME DE MARFAN / OUTRAS MALFORMAÇÕES CROMOSSÔMICAS;MALFORMAÇÕES RELACIONADAS COM SISTEMAS CORPORAIS ESPECÍFICOS (CODIFICAR NO CAPÍTULO DOS SISTEMAS);;;;7;2;2
4;A91;INVESTIGAÇÃO COM RESULTADO ANORMAL NE;TESTE OU IMAGIOLOGIA ANORMAL E INEXPLICÁVEL / PERTURBAÇÃO ELETROLÍTICA;CÉLULAS BRANCAS ANORMAIS B84 / ANOMALIA HEMATOLÓGICA B99 / TESTE DE URINA ANORMAL U98 / ESFREGAÇO DE PAP ANORMAL X86;;;RESULTADOS ANORMAIS QUE NÃO PODEM SER ATRIBUÍDOS A DOENÇA CONHECIDA;7;2;2
5;A92;ALERGIA/REAÇÃO ALÉRGICA NE;TODAS AS REAÇÕES ALÉRGICAS NÃO ESPECIFICADAS EM QUALQUER OUTRA PARTE, EDEMA ALÉRGICO, CHOQUE ANAFILÁTICO, EDEMA ANGIONEURÓTICO;URTICÁRIA S98, CONSEQÜÊNCIA DE MEDICAÇÃO A85, RINITE ALÉRGICA R97;;;;7;2;2
6;A93;RECÉM NASCIDO PREMATURO;;;;;NASCIDO-VIVO COM MENOS DE 36 SEMANAS DE GESTAÇÃO;7;2;2
7;D09;NÁUSEA;;SENSAÇÃO DE TER COMIDO DEMAIS D02 / VÔMITOS D10 / MÁ DISPOSIÇÃO PROVOCADA PELO ÁLCOOL P16 /  PERDA DE APETITE T03 / GRAVIDEZ WO6;;CODIFICAR NÁUSEAS E VÔMITOS NO MODO PROBLEMAS, COMO D10;;1;4;2
8;A97;SEM DOENÇA;NENHUMA DOENÇA OU AFECÇÃO DETECTADA DURANTE A CONSULTA;MEDICINA PREVENTIVA/MANUTENÇÃO DA SAÚDE A98;;ÀS VEZES O PACIENTE APRESENTA UM MOTIVO DA CONSULTA QUE O PROFISSIONAL NÃO PODE INTERPRETAR COMO UM DIAGNÓSTICO DO DOMÍNIO DA ATENÇÃO PRIMÁRIA À SAÚDE. NESTES CASOS O PROFISSIONAL DEVE USAR O CÓDIGO A97, INDICANDO QUE O MOTIVO DA CONSULTA DO PACIENTE SE R;;7;2;2
9;A98;MEDICINA PREVENTIVA/MANUTENÇÃO DA SAÚDE;ACONSELHAMENTO/PROCEDIMENTO MÉDICO COM O PROPÓSITO PREVENTIVO, INCLUINDO ACONSELHAMENTO GENÉTICO;SEM DOENÇA A97;;;;7;2;2
10;A99;OUTRAS DOENÇAS GERAIS NE;DOENÇA OU CONDIÇÃO DE NATUREZA OU LOCALIZAÇÃO NÃO ESPECIFICADAS / PORTADOR DE DOENÇA;;;;;7;2;2
11;B02;GÂNGLIO LINFÁTICO AUMENTADO/DOLOROSO;LINFADENOPATIA COM OU SEM DOR/SENSIBILIDADE;LINFADENITE - AGUDA B70, CRÔNICA B71;;;;1;3;2
12;B04;SINAIS/SINTOMAS SANGUE;;ANEMIA B82, PALIDEZ S08;;;;1;3;2
13;B25;MEDO DE VIH/ HIV/SIDA/ AIDS;;SE O PACIENTE TEM A DOENÇA, CODIFIQUE-A;;;PACIENTE QUE RECEIA TER AIDS OU HIV SEM OS TER, OU ATÉ O DIAGNÓSTICO SER CONFIRMADO;1;3;2
14;B26;MEDO DE CÂNCER NO SANGUE/LINFÁTICO;;SE O PACIENTE TEM A DOENÇA, CODIFIQUE-A;;;PACIENTE QUE RECEIA TER A DOENÇA SEM A TER, OU ATÉ O DIAGNÓSTICO SER CONFIRMADO;1;3;2
